latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.614254,10.300583,2347.39,7200,Europe/Zurich,GMT+2

time,temperature_2m_cerra (°C),snowfall_cerra (cm),rain_cerra (mm),snow_depth_cerra (m),precipitation_cerra (mm),wind_speed_10m_cerra (km/h),wind_speed_100m_cerra (km/h),wind_direction_10m_cerra (°),wind_direction_100m_cerra (°),wind_gusts_10m_cerra (km/h),sunshine_duration_cerra (s),cloud_cover_cerra (%),temperature_2m_archive_best_match (°C),snowfall_archive_best_match (cm),rain_archive_best_match (mm),snow_depth_archive_best_match (m),precipitation_archive_best_match (mm),wind_speed_10m_archive_best_match (km/h),wind_speed_100m_archive_best_match (km/h),wind_direction_10m_archive_best_match (°),wind_direction_100m_archive_best_match (°),wind_gusts_10m_archive_best_match (km/h),sunshine_duration_archive_best_match (s),cloud_cover_archive_best_match (%)
2001-02-08T00:00,-4.1,0.07,0.00,1.76,0.10,13.7,13.7,186,190,33.1,0.00,100,-6.9,0.07,0.00,1.82,0.00,9.1,13.7,173,185,47.9,0.00,100
2001-02-08T01:00,-3.9,0.07,0.00,1.77,0.10,15.1,15.1,188,192,34.6,0.00,100,-7.3,0.07,0.00,1.82,0.00,8.5,12.6,168,180,46.8,0.00,100
2001-02-08T02:00,-4.0,0.07,0.00,1.77,0.10,15.5,15.5,186,190,38.2,0.00,100,-8.1,0.00,0.00,1.82,0.00,8.7,13.0,163,175,47.9,0.00,100
2001-02-08T03:00,-4.0,0.07,0.10,1.77,0.20,14.0,14.0,184,188,33.5,0.00,100,-8.3,0.07,0.00,1.81,0.00,8.4,12.8,160,170,47.9,0.00,100
2001-02-08T04:00,-4.0,0.21,0.00,1.77,0.30,15.8,15.8,194,192,38.9,0.00,100,-8.7,0.07,0.00,1.81,0.00,8.1,12.4,159,172,47.9,0.00,100
2001-02-08T05:00,-4.0,0.14,0.00,1.77,0.20,17.6,17.6,190,192,42.8,0.00,100,-10.0,0.00,0.00,1.81,0.00,8.1,12.7,159,173,47.2,0.00,100
2001-02-08T06:00,-3.8,0.14,0.00,1.77,0.20,14.4,14.4,176,182,37.4,0.00,100,-10.6,0.00,0.00,1.81,0.00,5.2,12.8,155,170,47.5,0.00,100
2001-02-08T07:00,-3.9,0.21,0.00,1.78,0.30,18.0,18.0,186,188,44.3,0.00,100,-11.0,0.00,0.00,1.81,0.00,5.8,13.2,150,169,46.8,0.00,100
2001-02-08T08:00,-4.1,0.14,0.00,1.78,0.20,18.4,18.4,182,184,46.8,0.00,100,-10.9,0.00,0.00,1.81,0.00,4.7,13.3,148,167,45.0,0.00,100
2001-02-08T09:00,-4.2,0.14,0.00,1.76,0.20,19.4,19.4,180,184,46.4,0.00,100,-10.2,0.07,0.00,1.81,0.00,5.2,13.7,146,166,44.6,0.00,100
2001-02-08T10:00,-4.4,0.14,0.00,1.76,0.20,23.4,23.4,182,184,54.0,0.00,100,-9.2,0.07,0.00,1.80,0.00,5.5,13.7,148,166,43.2,0.00,100
2001-02-08T11:00,-4.5,0.07,0.00,1.76,0.10,25.9,25.9,184,186,58.3,0.00,100,-7.7,0.07,0.00,1.80,0.00,6.4,12.9,153,162,43.9,1146.35,100
2001-02-08T12:00,-4.1,0.07,0.00,1.76,0.10,24.1,24.1,180,180,58.7,0.00,100,-6.1,0.07,0.00,1.80,0.00,5.6,13.1,153,159,43.6,3600.00,100
2001-02-08T13:00,-3.8,0.00,0.00,1.76,0.00,25.6,25.6,182,182,58.7,0.00,100,-4.9,0.07,0.00,1.80,0.00,7.8,12.1,158,157,45.4,929.10,100
2001-02-08T14:00,-3.6,0.07,0.00,1.76,0.10,25.6,25.6,182,182,58.7,0.00,100,-4.1,0.07,0.00,1.80,0.10,8.5,13.4,152,153,46.4,1857.27,100
2001-02-08T15:00,-4.0,0.42,0.00,1.77,0.60,22.3,22.3,182,182,58.7,0.00,100,-3.9,0.14,0.00,1.80,0.20,8.2,13.4,157,156,46.1,2281.68,100
2001-02-08T16:00,-4.1,0.49,0.00,1.77,0.70,19.1,19.1,180,180,50.4,40.79,100,-4.0,0.35,0.00,1.80,0.50,6.9,12.4,152,154,43.9,573.31,100
2001-02-08T17:00,-4.2,0.56,0.00,1.78,0.80,20.5,20.5,182,180,46.4,1013.44,62,-4.7,0.56,0.00,1.80,0.80,5.6,10.8,153,154,41.4,0.00,100
