latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.927128,9.301865,2617.62,7200,Europe/Zurich,GMT+2

time,temperature_2m (°C),snowfall (cm),rain (mm),snow_depth (m),precipitation (mm),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),sunshine_duration (s),cloud_cover (%)
2006-12-25T00:00,-13.9,0.00,0.00,1.26,0.00,7.2,7.2,178,146,9.0,0.00,3
2006-12-25T01:00,-13.8,0.00,0.00,1.26,0.00,6.1,6.1,178,118,8.6,0.00,1
2006-12-25T02:00,-13.8,0.00,0.00,1.26,0.00,5.0,5.0,182,80,7.9,0.00,0
2006-12-25T03:00,-14.9,0.00,0.00,1.26,0.00,7.2,7.2,176,142,9.0,0.00,0
2006-12-25T04:00,-14.6,0.00,0.00,1.26,0.00,5.8,5.8,178,106,8.3,0.00,0
2006-12-25T05:00,-14.4,0.00,0.00,1.26,0.00,5.0,5.0,176,98,7.6,0.00,0
2006-12-25T06:00,-15.1,0.00,0.00,1.26,0.00,7.6,7.6,178,140,9.4,0.00,0
2006-12-25T07:00,-14.7,0.00,0.00,1.26,0.00,6.8,6.8,174,130,9.0,0.00,0
2006-12-25T08:00,-14.4,0.00,0.00,1.26,0.00,6.8,6.8,176,132,8.6,0.00,0
2006-12-25T09:00,-14.5,0.00,0.00,1.26,0.00,9.7,9.7,186,166,11.9,0.00,0
2006-12-25T10:00,-14.0,0.00,0.00,1.26,0.00,9.4,9.4,188,180,11.2,405.12,0
2006-12-25T11:00,-12.4,0.00,0.00,1.26,0.00,7.2,7.2,184,178,10.4,3600.00,0
2006-12-25T12:00,-11.4,0.00,0.00,1.26,0.00,7.9,7.9,184,170,9.4,3600.00,0
2006-12-25T13:00,-9.0,0.00,0.00,1.26,0.00,6.5,6.5,178,122,8.6,3600.00,0
2006-12-25T14:00,-7.4,0.00,0.00,1.26,0.00,6.5,6.5,190,154,7.6,3600.00,0
2006-12-25T15:00,-7.7,0.00,0.00,1.26,0.00,6.1,6.1,186,186,6.5,3600.00,0
2006-12-25T16:00,-8.1,0.00,0.00,1.26,0.00,5.4,5.4,180,140,6.1,3600.00,0
2006-12-25T17:00,-9.5,0.00,0.00,1.26,0.00,5.8,5.8,178,130,6.5,3600.00,0
2006-12-25T18:00,-11.9,0.00,0.00,1.26,0.00,7.6,7.6,172,138,9.0,0.00,0
2006-12-25T19:00,-12.8,0.00,0.00,1.26,0.00,7.6,7.6,172,130,9.4,0.00,0
2006-12-25T20:00,-13.1,0.00,0.00,1.26,0.00,6.8,6.8,176,134,9.4,0.00,0
2006-12-25T21:00,-13.8,0.00,0.00,1.26,0.00,8.3,8.3,184,184,10.1,0.00,0
2006-12-25T22:00,-13.9,0.00,0.00,1.26,0.00,8.3,8.3,188,172,9.7,0.00,0
2006-12-25T23:00,-13.9,0.00,0.00,1.26,0.00,8.3,8.3,196,204,10.4,0.00,0
2006-12-26T00:00,-13.8,0.00,0.00,1.26,0.00,9.7,9.7,196,224,13.0,0.00,0
2006-12-26T01:00,-13.9,0.00,0.00,1.26,0.00,9.7,9.7,196,224,11.2,0.00,0
2006-12-26T02:00,-13.8,0.00,0.00,1.26,0.00,7.9,7.9,208,256,11.2,0.00,0
2006-12-26T03:00,-13.8,0.00,0.00,1.26,0.00,7.6,7.6,204,246,10.8,0.00,0
2006-12-26T04:00,-14.0,0.00,0.00,1.26,0.00,7.2,7.2,204,256,9.0,0.00,0
2006-12-26T05:00,-14.1,0.00,0.00,1.26,0.00,6.5,6.5,212,270,9.0,0.00,0
2006-12-26T06:00,-14.1,0.00,0.00,1.26,0.00,6.1,6.1,206,264,7.9,0.00,1
2006-12-26T07:00,-14.3,0.00,0.00,1.26,0.00,6.5,6.5,208,264,8.3,0.00,0
2006-12-26T08:00,-14.3,0.00,0.00,1.26,0.00,5.4,5.4,210,284,8.3,0.00,0
2006-12-26T09:00,-14.5,0.00,0.00,1.26,0.00,6.1,6.1,206,270,7.9,0.00,0
2006-12-26T10:00,-14.4,0.00,0.00,1.26,0.00,6.1,6.1,214,274,7.9,400.12,0
2006-12-26T11:00,-13.1,0.00,0.00,1.26,0.00,5.4,5.4,220,280,7.6,3600.00,0
2006-12-26T12:00,-11.4,0.00,0.00,1.26,0.00,6.1,6.1,210,254,7.2,3600.00,3
2006-12-26T13:00,-9.2,0.00,0.00,1.26,0.00,6.8,6.8,208,238,7.9,3600.00,4
2006-12-26T14:00,-7.6,0.00,0.00,1.26,0.00,7.2,7.2,214,248,8.3,3600.00,3
2006-12-26T15:00,-7.4,0.00,0.00,1.26,0.00,7.2,7.2,206,220,7.9,3600.00,3
2006-12-26T16:00,-8.0,0.00,0.00,1.26,0.00,6.8,6.8,210,232,7.6,3600.00,2
2006-12-26T17:00,-9.5,0.00,0.00,1.26,0.00,6.5,6.5,212,248,7.6,3600.00,1
