latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.139523,11.051071,2544.99,7200,Europe/Vienna,GMT+2

time,temperature_2m (°C),snowfall (cm),rain (mm),snow_depth (m),precipitation (mm),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),sunshine_duration (s),cloud_cover (%)
2004-12-28T00:00,-13.3,0.00,0.00,1.74,0.00,3.2,3.2,150,148,4.0,0.00,89
2004-12-28T01:00,-14.2,0.00,0.00,1.74,0.00,1.8,1.8,150,160,3.2,0.00,39
2004-12-28T02:00,-15.0,0.00,0.00,1.74,0.00,3.2,3.2,182,188,3.2,0.00,55
2004-12-28T03:00,-13.7,0.00,0.00,1.74,0.00,4.3,4.3,190,204,5.8,0.00,100
2004-12-28T04:00,-12.8,0.00,0.00,1.74,0.00,5.4,5.4,180,194,5.4,0.00,100
2004-12-28T05:00,-12.7,0.00,0.00,1.74,0.00,5.0,5.0,176,200,5.4,0.00,90
2004-12-28T06:00,-11.9,0.00,0.00,1.74,0.00,2.5,2.5,226,252,5.0,0.00,100
2004-12-28T07:00,-12.2,0.00,0.00,1.74,0.00,3.2,3.2,204,234,3.6,0.00,67
2004-12-28T08:00,-13.1,0.00,0.00,1.74,0.00,3.2,3.2,180,204,3.2,0.00,34
2004-12-28T09:00,-12.5,0.00,0.00,1.76,0.00,2.9,2.9,192,204,2.9,0.00,100
2004-12-28T10:00,-12.2,0.00,0.00,1.76,0.00,4.3,4.3,190,202,5.8,0.00,56
2004-12-28T11:00,-12.2,0.00,0.00,1.76,0.00,5.0,5.0,170,192,9.0,3600.00,24
2004-12-28T12:00,-11.4,0.00,0.00,1.76,0.00,5.0,5.0,240,218,12.6,3600.00,100
2004-12-28T13:00,-10.7,0.00,0.00,1.76,0.00,5.4,5.4,258,242,9.0,0.00,100
2004-12-28T14:00,-9.8,0.07,0.00,1.76,0.10,5.0,5.0,222,210,9.7,0.00,100
2004-12-28T15:00,-9.7,0.00,0.00,1.76,0.00,6.5,6.5,244,234,10.4,0.00,100
2004-12-28T16:00,-9.8,0.07,0.00,1.76,0.10,4.0,4.0,230,226,10.1,0.00,100
2004-12-28T17:00,-10.4,0.00,0.00,1.76,0.00,4.7,4.7,246,254,5.4,0.00,100
2004-12-28T18:00,-10.6,0.07,0.00,1.76,0.10,4.0,4.0,252,274,5.8,0.00,100
2004-12-28T19:00,-10.6,0.28,0.00,1.77,0.40,4.3,4.3,290,302,10.4,0.00,100
2004-12-28T20:00,-10.7,0.42,0.00,1.77,0.60,3.6,3.6,296,320,7.6,0.00,100
2004-12-28T21:00,-11.0,0.56,0.00,1.78,0.80,6.1,6.1,318,330,12.2,0.00,100
2004-12-28T22:00,-11.6,0.70,0.00,1.79,1.00,13.7,13.7,278,286,25.9,0.00,100
2004-12-28T23:00,-12.0,0.28,0.00,1.79,0.40,19.1,19.1,260,268,33.1,0.00,100
2004-12-29T00:00,-12.3,0.35,0.00,1.79,0.50,20.9,20.9,260,268,37.4,0.00,100
2004-12-29T01:00,-12.8,0.42,0.00,1.80,0.60,19.8,19.8,266,276,37.8,0.00,100
2004-12-29T02:00,-13.1,0.56,0.00,1.81,0.80,18.4,18.4,274,286,35.6,0.00,100
2004-12-29T03:00,-13.0,0.70,0.00,1.82,1.00,17.3,17.3,274,286,35.6,0.00,100
2004-12-29T04:00,-13.1,0.63,0.00,1.83,0.90,15.5,15.5,282,294,33.1,0.00,100
2004-12-29T05:00,-13.2,0.63,0.00,1.83,0.90,16.2,16.2,288,300,33.1,0.00,100
2004-12-29T06:00,-13.1,0.63,0.00,1.84,0.90,12.6,12.6,290,300,24.8,0.00,100
2004-12-29T07:00,-13.2,0.70,0.00,1.85,1.00,14.4,14.4,310,320,29.5,0.00,100
2004-12-29T08:00,-13.5,0.56,0.00,1.86,0.80,14.8,14.8,316,322,30.2,0.00,100
2004-12-29T09:00,-13.6,0.49,0.00,1.89,0.70,13.0,13.0,320,326,27.7,0.00,100
2004-12-29T10:00,-14.1,0.42,0.00,1.90,0.60,13.7,13.7,320,326,28.1,0.00,100
2004-12-29T11:00,-14.7,0.14,0.00,1.90,0.20,11.5,11.5,312,320,27.4,0.00,100
2004-12-29T12:00,-14.7,0.07,0.00,1.90,0.10,9.0,9.0,316,326,21.6,0.00,100
2004-12-29T13:00,-14.6,0.07,0.00,1.90,0.10,9.0,9.0,308,318,18.4,0.00,100
2004-12-29T14:00,-14.3,0.07,0.00,1.90,0.10,9.7,9.7,308,316,19.4,0.00,100
2004-12-29T15:00,-14.1,0.07,0.00,1.90,0.10,9.0,9.0,330,334,18.0,0.00,100
