latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.821194,9.804489,2467.44,7200,Europe/Zurich,GMT+2

time,temperature_2m_cerra (°C),snowfall_cerra (cm),rain_cerra (mm),snow_depth_cerra (m),precipitation_cerra (mm),wind_speed_10m_cerra (km/h),wind_speed_100m_cerra (km/h),wind_direction_10m_cerra (°),wind_direction_100m_cerra (°),wind_gusts_10m_cerra (km/h),sunshine_duration_cerra (s),cloud_cover_cerra (%),temperature_2m_archive_best_match (°C),snowfall_archive_best_match (cm),rain_archive_best_match (mm),snow_depth_archive_best_match (m),precipitation_archive_best_match (mm),wind_speed_10m_archive_best_match (km/h),wind_speed_100m_archive_best_match (km/h),wind_direction_10m_archive_best_match (°),wind_direction_100m_archive_best_match (°),wind_gusts_10m_archive_best_match (km/h),sunshine_duration_archive_best_match (s),cloud_cover_archive_best_match (%)
2007-12-31T00:00,-12.9,0.07,0.00,4.69,0.10,4.7,4.7,142,108,11.5,0.00,90,-12.6,0.00,0.00,1.02,0.00,8.1,14.3,13,10,35.6,0.00,94
2007-12-31T01:00,-13.4,0.07,0.00,4.70,0.10,4.3,4.3,164,102,9.0,0.00,90,-13.0,0.00,0.00,1.02,0.00,9.2,15.0,11,10,34.9,0.00,98
2007-12-31T02:00,-14.0,0.07,0.00,4.70,0.10,4.7,4.7,186,282,7.6,0.00,90,-13.7,0.00,0.00,1.02,0.00,5.5,14.3,11,10,34.2,0.00,94
2007-12-31T03:00,-13.6,0.07,0.00,4.70,0.10,5.0,5.0,186,228,6.1,0.00,90,-14.5,0.00,0.00,1.02,0.00,6.0,13.4,17,14,32.0,0.00,98
2007-12-31T04:00,-14.5,0.00,0.00,4.70,0.00,6.5,6.5,194,220,7.2,0.00,86,-15.4,0.00,0.00,1.02,0.00,5.9,13.8,14,15,32.8,0.00,94
2007-12-31T05:00,-16.5,0.00,0.00,4.70,0.00,6.1,6.1,202,270,7.6,0.00,90,-16.4,0.00,0.00,1.02,0.00,7.1,14.1,15,13,34.9,0.00,98
2007-12-31T06:00,-16.3,0.00,0.00,4.70,0.00,4.3,4.3,210,294,8.6,0.00,90,-17.4,0.00,0.00,1.02,0.00,7.1,14.3,15,12,38.2,0.00,96
2007-12-31T07:00,-17.1,0.00,0.00,4.70,0.00,6.1,6.1,200,294,6.5,0.00,90,-17.9,0.00,0.00,1.02,0.00,6.7,15.0,16,10,40.7,0.00,97
2007-12-31T08:00,-17.8,0.00,0.00,4.70,0.00,6.5,6.5,200,288,7.2,0.00,90,-17.8,0.00,0.00,1.02,0.00,6.7,15.0,16,10,41.0,0.00,99
2007-12-31T09:00,-17.9,0.00,0.00,4.73,0.00,5.4,5.4,202,288,7.9,0.00,90,-16.4,0.00,0.00,1.02,0.00,6.4,14.6,16,10,40.0,0.00,94
2007-12-31T10:00,-19.0,0.00,0.00,4.73,0.00,5.0,5.0,198,308,5.8,0.00,90,-16.2,0.00,0.00,1.02,0.00,7.1,14.3,15,10,40.0,140.69,97
2007-12-31T11:00,-18.7,0.00,0.00,4.73,0.00,5.0,5.0,200,316,5.8,3600.00,90,-14.8,0.00,0.00,1.02,0.00,6.2,14.6,10,10,41.8,3600.00,95
2007-12-31T12:00,-15.8,0.00,0.00,4.73,0.00,3.2,3.2,204,346,4.0,2712.50,90,-12.1,0.00,0.00,1.02,0.00,6.2,14.5,10,7,42.5,3600.00,46
2007-12-31T13:00,-13.6,0.00,0.00,4.73,0.00,1.1,1.1,242,342,5.4,2454.78,90,-11.7,0.00,0.00,1.02,0.00,7.2,13.0,3,5,42.8,3600.00,25
2007-12-31T14:00,-12.7,0.07,0.00,4.73,0.10,1.4,1.4,332,8,5.8,0.00,90,-10.9,0.00,0.00,1.02,0.00,7.6,13.3,360,2,45.4,3600.00,44
2007-12-31T15:00,-12.7,0.00,0.00,4.73,0.00,2.2,2.2,4,352,6.5,3600.00,91,-11.7,0.00,0.00,1.02,0.00,6.8,13.3,360,2,45.7,3600.00,36
2007-12-31T16:00,-12.8,0.07,0.00,4.73,0.10,3.6,3.6,354,346,6.5,0.00,90,-10.7,0.00,0.00,1.02,0.00,5.8,15.1,356,1,45.7,3600.00,49
2007-12-31T17:00,-13.1,0.14,0.00,4.73,0.20,3.6,3.6,350,346,5.0,0.00,91,-11.0,0.00,0.00,1.02,0.00,5.8,15.5,360,4,45.4,3600.00,43
2007-12-31T18:00,-13.6,0.14,0.00,4.73,0.20,1.8,1.8,18,22,4.3,0.00,92,-11.5,0.00,0.00,1.02,0.00,10.5,15.9,4,6,49.0,62.78,27
2007-12-31T19:00,-14.1,0.14,0.00,4.73,0.20,1.4,1.4,346,34,1.8,0.00,92,-12.1,0.00,0.00,1.02,0.00,10.9,16.0,8,8,49.7,0.00,63
2007-12-31T20:00,-14.2,0.07,0.00,4.73,0.10,1.1,1.1,2,26,2.2,0.00,92,-12.4,0.00,0.00,1.02,0.00,10.2,15.3,10,9,50.4,0.00,70
2007-12-31T21:00,-14.0,0.07,0.00,4.74,0.10,1.1,1.1,116,76,2.2,0.00,90,-12.3,0.00,0.00,1.02,0.00,9.9,14.3,10,12,52.6,0.00,97
2007-12-31T22:00,-14.4,0.00,0.00,4.74,0.00,1.4,1.4,164,88,2.9,0.00,90,-12.8,0.00,0.00,1.02,0.00,9.5,14.0,11,12,49.0,0.00,97
2007-12-31T23:00,-15.4,0.00,0.00,4.74,0.00,1.4,1.4,172,128,1.8,0.00,62,-13.8,0.00,0.00,1.02,0.00,8.8,13.3,12,13,45.7,0.00,96
2008-01-01T00:00,-14.8,0.07,0.00,4.74,0.10,2.9,2.9,170,134,3.2,0.00,79,-15.3,0.00,0.00,1.02,0.00,8.9,13.1,14,16,43.6,0.00,97
2008-01-01T01:00,-16.3,0.00,0.00,4.74,0.00,2.9,2.9,158,80,3.2,0.00,4,-16.4,0.00,0.00,1.02,0.00,7.5,13.9,17,17,42.1,0.00,98
2008-01-01T02:00,-18.4,0.00,0.00,4.74,0.00,2.5,2.5,170,4,3.2,0.00,1,-17.3,0.00,0.00,1.02,0.00,9.0,13.5,16,16,40.7,0.00,99
2008-01-01T03:00,-19.4,0.00,0.00,4.74,0.00,3.2,3.2,184,38,3.2,0.00,2,-17.6,0.00,0.00,1.02,0.00,9.0,13.4,16,14,40.7,0.00,99
2008-01-01T04:00,-20.3,0.00,0.00,4.74,0.00,2.9,2.9,196,360,3.6,0.00,7,-17.9,0.00,0.00,1.02,0.00,8.6,13.6,15,11,40.3,0.00,99
2008-01-01T05:00,-20.8,0.00,0.00,4.74,0.00,3.2,3.2,214,316,3.6,0.00,2,-18.2,0.00,0.00,1.02,0.00,4.8,13.4,13,8,41.0,0.00,99
2008-01-01T06:00,-20.5,0.00,0.00,4.74,0.00,3.2,3.2,194,340,3.6,0.00,33,-18.8,0.00,0.00,1.01,0.00,5.2,13.6,16,11,42.5,0.00,100
2008-01-01T07:00,-21.0,0.00,0.00,4.74,0.00,3.6,3.6,198,332,4.0,0.00,25,-19.6,0.00,0.00,1.01,0.00,5.2,13.2,16,11,42.8,0.00,97
2008-01-01T08:00,-21.3,0.00,0.00,4.74,0.00,3.6,3.6,208,294,4.3,0.00,25,-20.1,0.00,0.00,1.01,0.00,6.8,12.8,18,10,42.1,0.00,95
2008-01-01T09:00,-21.5,0.00,0.00,4.78,0.00,4.0,4.0,188,240,5.0,0.00,62,-20.2,0.00,0.00,1.01,0.00,5.7,11.7,18,9,40.3,0.00,98
2008-01-01T10:00,-20.9,0.00,0.00,4.78,0.00,4.7,4.7,186,242,5.0,0.00,68,-19.7,0.00,0.00,1.01,0.00,6.8,10.9,18,9,37.4,140.39,97
2008-01-01T11:00,-19.6,0.00,0.00,4.78,0.00,3.6,3.6,208,290,5.0,844.22,72,-18.0,0.00,0.00,1.01,0.00,6.0,10.1,17,6,36.0,3600.00,96
2008-01-01T12:00,-17.8,0.00,0.00,4.78,0.00,3.2,3.2,180,300,4.0,0.00,86,-15.3,0.00,0.00,1.01,0.00,4.8,9.0,13,358,34.9,3600.00,91
2008-01-01T13:00,-16.0,0.00,0.00,4.78,0.00,2.9,2.9,182,288,4.0,0.00,90,-12.7,0.00,0.00,1.01,0.00,3.3,6.8,6,360,32.8,3600.00,97
2008-01-01T14:00,-14.6,0.00,0.00,4.78,0.00,0.7,0.7,254,318,2.9,0.00,90,-10.5,0.00,0.00,1.01,0.00,1.8,4.0,349,355,29.2,3600.00,98
2008-01-01T15:00,-14.0,0.00,0.00,4.78,0.00,1.4,1.4,14,342,2.5,0.00,89,-10.0,0.00,0.00,1.01,0.00,1.9,4.6,338,342,28.4,3600.00,99
2008-01-01T16:00,-14.2,0.00,0.00,4.78,0.00,0.4,0.4,4,356,1.4,0.00,68,-10.1,0.00,0.00,1.01,0.00,4.2,5.4,340,340,27.7,1810.28,98
2008-01-01T17:00,-15.0,0.00,0.00,4.78,0.00,1.4,1.4,360,336,1.8,0.00,52,-10.6,0.00,0.00,1.01,0.00,4.5,6.2,346,339,29.2,1075.12,76
2008-01-01T18:00,-17.2,0.00,0.00,4.78,0.00,0.7,0.7,210,358,3.6,0.00,44,-11.3,0.00,0.00,1.01,0.00,5.1,7.0,356,348,28.8,0.00,54
2008-01-01T19:00,-18.1,0.00,0.00,4.78,0.00,2.5,2.5,196,356,2.9,0.00,47,-12.3,0.00,0.00,1.01,0.00,4.7,6.5,4,354,28.1,0.00,13
2008-01-01T20:00,-18.5,0.00,0.00,4.78,0.00,4.0,4.0,202,328,4.3,0.00,38,-13.5,0.00,0.00,1.01,0.00,4.0,5.4,10,356,27.0,0.00,10
2008-01-01T21:00,-20.2,0.00,0.00,4.78,0.00,5.4,5.4,182,292,5.8,0.00,47,-15.0,0.00,0.00,1.01,0.00,3.1,3.1,21,339,25.6,0.00,13
2008-01-01T22:00,-20.7,0.00,0.00,4.78,0.00,5.8,5.8,190,238,5.8,0.00,12,-16.1,0.00,0.00,1.01,0.00,1.1,2.6,18,254,22.3,0.00,9
2008-01-01T23:00,-21.5,0.00,0.00,4.78,0.00,5.8,5.8,190,280,6.8,0.00,38,-17.1,0.00,0.00,1.01,0.00,0.5,4.1,45,232,20.2,0.00,10
2008-01-02T00:00,-21.2,0.00,0.00,4.78,0.00,5.8,5.8,186,262,8.6,0.00,13,-18.2,0.00,0.00,1.01,0.00,2.3,0.8,39,243,18.7,0.00,27
2008-01-02T01:00,-21.4,0.00,0.00,4.78,0.00,5.4,5.4,186,224,5.8,0.00,1,-20.4,0.00,0.00,1.00,0.00,2.3,0.8,39,27,19.1,0.00,16
2008-01-02T02:00,-21.7,0.00,0.00,4.78,0.00,5.8,5.8,192,228,5.8,0.00,0,-21.9,0.00,0.00,1.00,0.00,2.8,0.4,40,360,19.1,0.00,19
2008-01-02T03:00,-22.4,0.00,0.00,4.78,0.00,6.5,6.5,186,216,6.5,0.00,1,-22.9,0.00,0.00,1.00,0.00,3.6,0.0,37,270,18.7,0.00,12
2008-01-02T04:00,-22.5,0.00,0.00,4.78,0.00,7.2,7.2,188,210,8.3,0.00,2,-23.5,0.00,0.00,1.00,0.00,3.6,1.1,37,180,19.8,0.00,16
2008-01-02T05:00,-22.2,0.00,0.00,4.78,0.00,6.5,6.5,190,212,9.7,0.00,18,-24.0,0.00,0.00,1.00,0.00,2.3,2.6,39,196,20.5,0.00,14
2008-01-02T06:00,-22.5,0.00,0.00,4.78,0.00,7.6,7.6,184,198,11.5,0.00,2,-24.9,0.00,0.00,1.00,0.00,1.8,3.4,37,198,20.9,0.00,19
2008-01-02T07:00,-22.3,0.00,0.00,4.78,0.00,8.3,8.3,190,206,14.4,0.00,1,-24.7,0.00,0.00,1.00,0.00,1.3,3.8,34,197,20.9,0.00,26
2008-01-02T08:00,-21.9,0.00,0.00,4.78,0.00,7.9,7.9,194,208,16.2,0.00,3,-24.9,0.00,0.00,1.00,0.00,1.5,4.6,45,198,20.5,0.00,29
2008-01-02T09:00,-21.8,0.00,0.00,4.80,0.00,7.6,7.6,180,190,14.8,0.00,11,-25.4,0.00,0.00,1.00,0.00,1.8,4.8,37,193,18.7,0.00,32
2008-01-02T10:00,-21.7,0.00,0.00,4.80,0.00,7.9,7.9,184,190,14.8,234.90,10,-24.7,0.00,0.00,1.00,0.00,2.5,5.4,45,184,18.4,236.08,36
2008-01-02T11:00,-20.4,0.00,0.00,4.80,0.00,7.9,7.9,190,196,15.5,3600.00,6,-21.7,0.00,0.00,1.00,0.00,3.5,6.5,66,180,19.1,3600.00,41
2008-01-02T12:00,-19.0,0.00,0.00,4.80,0.00,9.4,9.4,186,186,18.4,3600.00,0,-17.4,0.00,0.00,1.00,0.00,2.5,5.3,98,118,20.5,3600.00,95
2008-01-02T13:00,-17.0,0.00,0.00,4.80,0.00,11.2,11.2,184,186,25.9,3600.00,5,-16.0,0.00,0.00,1.00,0.00,5.2,6.8,155,155,23.0,3600.00,100
2008-01-02T14:00,-15.4,0.00,0.00,4.80,0.00,10.4,10.4,188,190,26.6,3600.00,17,-14.2,0.00,0.00,1.00,0.00,5.8,8.7,184,185,27.4,3600.00,87
2008-01-02T15:00,-15.4,0.00,0.00,4.80,0.00,10.8,10.8,180,184,23.8,3600.00,19,-13.7,0.00,0.00,1.00,0.00,5.6,9.3,195,193,27.7,3600.00,88
2008-01-02T16:00,-15.6,0.00,0.00,4.80,0.00,10.1,10.1,174,178,23.8,3600.00,30,-13.4,0.00,0.00,1.00,0.00,4.1,9.0,195,196,25.6,3452.42,93
2008-01-02T17:00,-16.6,0.00,0.00,4.80,0.00,10.4,10.4,182,182,22.3,3600.00,49,-13.2,0.00,0.00,1.00,0.00,6.6,9.3,193,196,23.8,1234.27,93
2008-01-02T18:00,-18.0,0.00,0.00,4.80,0.00,10.8,10.8,182,180,22.0,0.00,53,-13.2,0.00,0.00,1.00,0.00,6.7,8.8,196,192,21.6,0.00,100
2008-01-02T19:00,-18.3,0.00,0.00,4.80,0.00,11.9,11.9,182,182,23.8,0.00,50,-14.3,0.00,0.00,1.00,0.00,6.6,8.8,193,192,21.6,0.00,100
2008-01-02T20:00,-18.5,0.00,0.00,4.80,0.00,11.5,11.5,186,184,23.4,0.00,100,-14.7,0.07,0.00,1.00,0.00,5.8,8.7,187,187,22.3,0.00,100
2008-01-02T21:00,-17.3,0.00,0.00,4.80,0.00,12.6,12.6,178,176,25.9,0.00,100,-16.0,0.07,0.00,1.00,0.00,5.1,8.6,184,180,23.8,0.00,100
2008-01-02T22:00,-16.6,0.07,0.00,4.80,0.10,13.3,13.3,180,178,27.4,0.00,100,-16.2,0.14,0.00,1.00,0.20,6.5,9.0,177,185,26.6,0.00,100
2008-01-02T23:00,-15.9,0.00,0.00,4.80,0.00,13.0,13.0,178,178,28.4,0.00,100,-16.1,0.21,0.00,1.00,0.30,6.2,9.4,187,184,28.1,0.00,100
2008-01-03T00:00,-15.2,0.07,0.00,4.80,0.10,12.6,12.6,176,176,27.0,0.00,100,-16.1,0.14,0.00,1.00,0.20,4.8,8.6,167,180,28.4,0.00,100
