latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.50191,10.86972,2426.8,7200,Europe/Rome,GMT+2

time,temperature_2m (°C),snowfall (cm),rain (mm),snow_depth (m),precipitation (mm),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),sunshine_duration (s),cloud_cover (%)
2008-02-27T00:00,-6.2,0.00,0.00,1.08,0.00,4.7,4.7,278,314,5.0,0.00,83
2008-02-27T01:00,-6.1,0.00,0.00,1.08,0.00,4.7,4.7,264,316,5.0,0.00,90
2008-02-27T02:00,-5.5,0.00,0.00,1.08,0.00,5.4,5.4,270,310,6.1,0.00,90
2008-02-27T03:00,-4.4,0.00,0.00,1.08,0.00,4.0,4.0,276,312,5.8,0.00,100
2008-02-27T04:00,-4.1,0.07,0.00,1.08,0.10,4.7,4.7,272,300,4.7,0.00,100
2008-02-27T05:00,-4.1,0.00,0.00,1.08,0.00,4.3,4.3,266,294,5.8,0.00,83
2008-02-27T06:00,-4.0,0.00,0.00,1.08,0.00,4.0,4.0,284,324,4.0,0.00,36
2008-02-27T07:00,-5.3,0.00,0.00,1.08,0.00,4.0,4.0,278,324,4.7,0.00,28
2008-02-27T08:00,-6.1,0.00,0.00,1.08,0.00,5.4,5.4,280,324,6.5,0.00,26
2008-02-27T09:00,-5.9,0.00,0.00,1.08,0.00,6.1,6.1,290,324,6.8,533.60,29
2008-02-27T10:00,-3.3,0.00,0.00,1.08,0.00,7.6,7.6,304,304,15.1,3600.00,34
2008-02-27T11:00,-1.1,0.00,0.00,1.08,0.00,6.1,6.1,302,296,15.5,3600.00,27
2008-02-27T12:00,0.6,0.00,0.00,1.08,0.00,5.4,5.4,342,322,14.4,3600.00,50
2008-02-27T13:00,1.4,0.00,0.00,1.08,0.00,4.0,4.0,348,320,15.8,3600.00,45
2008-02-27T14:00,1.9,0.00,0.00,1.07,0.00,4.3,4.3,346,320,16.2,3600.00,63
2008-02-27T15:00,1.4,0.00,0.00,1.07,0.00,4.0,4.0,88,56,13.0,3600.00,66
2008-02-27T16:00,0.8,0.00,0.00,1.06,0.00,4.3,4.3,34,348,12.2,1259.67,66
2008-02-27T17:00,-0.0,0.00,0.00,1.06,0.00,3.2,3.2,26,334,11.9,3195.25,44
2008-02-27T18:00,-1.2,0.00,0.00,1.06,0.00,4.0,4.0,0,332,8.3,3600.00,23
2008-02-27T19:00,-3.3,0.00,0.00,1.06,0.00,6.1,6.1,332,332,12.2,0.00,19
2008-02-27T20:00,-4.8,0.00,0.00,1.06,0.00,5.8,5.8,312,320,11.9,0.00,20
2008-02-27T21:00,-4.9,0.00,0.00,1.06,0.00,4.3,4.3,312,334,8.3,0.00,27
2008-02-27T22:00,-5.7,0.00,0.00,1.06,0.00,5.4,5.4,310,328,10.8,0.00,48
2008-02-27T23:00,-6.0,0.00,0.00,1.06,0.00,5.8,5.8,302,316,12.2,0.00,50
2008-02-28T00:00,-5.9,0.00,0.00,1.06,0.00,6.5,6.5,316,324,13.0,0.00,46
2008-02-28T01:00,-6.4,0.00,0.00,1.06,0.00,6.5,6.5,314,314,14.0,0.00,56
2008-02-28T02:00,-6.6,0.00,0.00,1.06,0.00,6.5,6.5,308,310,15.1,0.00,51
2008-02-28T03:00,-6.6,0.00,0.00,1.06,0.00,6.5,6.5,316,318,13.7,0.00,25
2008-02-28T04:00,-7.3,0.00,0.00,1.06,0.00,7.6,7.6,306,310,14.0,0.00,23
2008-02-28T05:00,-7.5,0.00,0.00,1.06,0.00,7.6,7.6,292,300,15.8,0.00,17
2008-02-28T06:00,-7.1,0.00,0.00,1.06,0.00,7.2,7.2,296,304,14.4,0.00,13
2008-02-28T07:00,-7.6,0.00,0.00,1.06,0.00,6.5,6.5,296,304,12.6,0.00,14
2008-02-28T08:00,-8.0,0.00,0.00,1.06,0.00,6.5,6.5,284,298,11.5,0.00,16
2008-02-28T09:00,-7.4,0.00,0.00,1.05,0.00,5.0,5.0,248,246,9.4,1461.77,16
2008-02-28T10:00,-4.9,0.00,0.00,1.05,0.00,4.3,4.3,232,198,5.4,3600.00,23
2008-02-28T11:00,-2.2,0.00,0.00,1.05,0.00,3.6,3.6,190,194,7.6,3600.00,16
2008-02-28T12:00,-0.6,0.00,0.00,1.05,0.00,5.0,5.0,160,190,12.6,3600.00,28
2008-02-28T13:00,0.2,0.00,0.00,1.05,0.00,5.8,5.8,148,180,15.8,3600.00,23
2008-02-28T14:00,0.8,0.00,0.00,1.05,0.00,5.4,5.4,132,166,15.5,3600.00,19
2008-02-28T15:00,0.7,0.00,0.00,1.05,0.00,4.7,4.7,122,160,16.6,3600.00,26
2008-02-28T16:00,0.4,0.00,0.00,1.05,0.00,4.7,4.7,120,158,14.8,3600.00,69
2008-02-28T17:00,-0.3,0.00,0.00,1.04,0.00,2.9,2.9,112,182,12.6,3600.00,75
2008-02-28T18:00,-1.5,0.00,0.00,1.04,0.00,0.7,0.7,108,262,10.4,0.00,41
2008-02-28T19:00,-3.3,0.00,0.00,1.04,0.00,1.4,1.4,218,302,3.2,0.00,44
2008-02-28T20:00,-4.6,0.00,0.00,1.04,0.00,3.2,3.2,248,300,3.2,0.00,30
2008-02-28T21:00,-4.6,0.00,0.00,1.04,0.00,3.6,3.6,280,320,3.6,0.00,30
2008-02-28T22:00,-5.6,0.00,0.00,1.04,0.00,4.0,4.0,280,324,4.3,0.00,21
2008-02-28T23:00,-6.2,0.00,0.00,1.04,0.00,4.3,4.3,270,324,5.0,0.00,15
2008-02-29T00:00,-5.1,0.00,0.00,1.04,0.00,5.0,5.0,294,322,5.8,0.00,48
2008-02-29T01:00,-5.6,0.00,0.00,1.04,0.00,5.4,5.4,294,314,8.3,0.00,25
2008-02-29T02:00,-5.9,0.00,0.00,1.04,0.00,5.8,5.8,288,308,10.1,0.00,22
2008-02-29T03:00,-5.1,0.00,0.00,1.04,0.00,6.1,6.1,300,308,10.8,0.00,34
